Rank	Gene	Centrality
301	Efcab11	0.0014780263715886784
302	Kif23	0.0014716068028343217
303	C1qc	0.0014591838555080543
304	Fbxo18	0.0014443596257961205
305	Atp5g1	0.0014174847328568025
306	Tubb6	0.0014088646847250207
307	Mcm7	0.0013713368628893998
308	Pde6a	0.001355295908107382
309	Hadhb	0.0013232516196293746
310	Ube2t	0.001322732607201282
311	Gpd1	0.0013082346629943846
312	Ccl7	0.0012999485065553907
313	Vtn	0.001273427599328231
314	Epor	0.001270415173375086
315	Cox6b1	0.0012649475730295004
316	Sec31a	0.0012505714698272453
317	Tuba8	0.0012301309725384767
318	Cyp1a1	0.0011918942688091843
319	Tomm5	0.0011908803537520113
320	P2ry2	0.0011887247185171567
321	Ntrk2	0.0011533963327614626
322	Ampd1	0.0011340773376100426
323	Ndufs4	0.0011098179647526629
324	Nrtn	0.001078323976448035
325	Gfra1	0.001078323976448035
326	Asah1	0.001078323976448035
327	Cers6	0.001078323976448035
328	Col28a1	0.001076255824114884
329	Ptger1	0.0010690234763464773
330	Cox6c	0.0010639141715122543
331	Ckb	0.0010461316115661652
332	Fzd4	0.0010441430796063848
333	Trip6	0.001026574280816559
334	Hadh	0.001019910045181346
335	Lig1	0.0010169384501072824
336	Acsf3	0.0010077681794315447
337	Bckdhb	0.0010004969066661111
338	Ube2l6	0.0009962165641139932
339	Mrps24	0.0009955199870367239
340	Dip2a	0.0009821516572468601
341	Adrb1	0.0009793167021577328
342	Ctsh	0.0009537113111985785
343	Myo18b	0.0009237001131133173
344	Pgam1	0.0009094441297017061
345	Cbr3	0.0009069061261451765
346	Prlr	0.0008813060636881809
347	Esrra	0.0008779751102238663
348	Tube1	0.0008761612012597162
349	Ogdh	0.0008754216882638007
350	Incenp	0.0008657329247066737
351	Ndufb4	0.0008558781704459443
352	Cdca5	0.0008363369149949102
353	Acsm5	0.0008081801157156596
354	Ucp3	0.0007968043261864889
355	Cks2	0.0007808072213375089
356	Trip13	0.000761369684022787
357	Sdhd	0.0007511179559917961
358	F2rl3	0.000747694393477018
359	Dhrs13	0.0007461327740899745
360	Mrpl14	0.000740852821723977
361	Mrpl47	0.000740852821723977
362	Kif20a	0.0007215263328840562
363	Apln	0.0007135269378317511
364	Slc5a5	0.0006965141744780265
365	Ndufa4	0.0006932284459973759
366	Arg1	0.0006809296979813802
367	Prkaa2	0.0006780937437945983
368	B4galt6	0.0006566474254412408
369	Fcgr4	0.0006554672754438796
370	Bcat2	0.0006532788591722682
371	Shc4	0.0006397131791072595
372	Ppm1l	0.0006175933085983622
373	Ndufaf4	0.0006175242525215974
374	Cited2	0.0006160930304075646
375	Ankrd39	0.0006090151855995166
376	Aox1	0.0006071707423430539
377	Nrp1	0.000595862888400663
378	Rpa3	0.0005909029183242943
379	Phka1	0.0005814834007455098
380	Mrpl45	0.0005788874627912081
381	Pdgfa	0.0005785681257836403
382	Idh2	0.0005743201242774458
383	Oip5	0.0005640604363895931
384	Me3	0.0005526731463814465
385	Mrpl35	0.0005451559980140753
386	Sox10	0.0005409896148737399
387	Dusp1	0.0005336699295387263
388	Gadd45g	0.0005176600103579403
389	Ndufb8	0.0004947238940778653
390	Plxna1	0.000494010267445586
391	Hif3a	0.0004891833462972629
392	Itpr2	0.0004881120409894805
393	Slc11a1	0.0004778370863124754
394	Ndufv2	0.0004753461172765159
395	Gmpr	0.00046912353020012496
396	Ncapg	0.00046655534551940503
397	Bora	0.00046577887284046296
398	Me2	0.00044536215593593266
399	Cntfr	0.0004278257922065769
400	Stk36	0.00042668390533492115
401	Ercc6l	0.00041789068834992293
402	Abat	0.00040872641389665565
403	Hspb2	0.0003973525987965799
404	Epha7	0.00039394127370903116
405	Dnajb2	0.0003938761316330486
406	Dnajc22	0.0003938761316330486
407	Rad54b	0.0003833289117137449
408	Gtf2h4	0.00038144663512090906
409	Fzd2	0.00037979738871316763
410	Cdca2	0.0003537007186230585
411	P4ha1	0.00035165089324895826
412	Ndufa6	0.00034857120616035544
413	Plce1	0.0003463432414072481
414	Cacna1h	0.00034162217949905486
415	Pim1	0.00033784628419651066
416	Tssk4	0.00033784628419651066
417	Sirt3	0.00033155373590929894
418	Phb	0.00032279695377360917
419	Gja1	0.0003160402960626814
420	Prodh	0.0002973857660832306
421	Nme4	0.00029622256089713864
422	Nme5	0.00029622256089713864
423	Nme6	0.00029622256089713864
424	Ptdss2	0.0002923996274113893
425	Coro2a	0.00028496391571191493
426	Cyp2u1	0.0002846164718635159
427	Ndufb10	0.000281185376704244
428	Txlnb	0.0002810933893463828
429	Pla2g15	0.0002686443842738937
430	Gh	0.0002660254932136759
431	Lgr6	0.00026278747106834736
432	Ndufb7	0.00025936641073271295
433	Pde1b	0.00025872088435559135
434	Pde1c	0.00025872088435559135
435	Tpm1	0.0002585845651971083
436	Phkg1	0.00025647207546819804
437	Espl1	0.00024322371945346196
438	Plcz1	0.0002395103736547419
439	Fgf23	0.000238677688107417
440	P2rx7	0.00022712161895246518
441	Cox7a1	0.0002245982448684181
442	Timm8a1	0.00022217736707182313
443	Fbxo5	0.00022194205333028367
444	Isca1	0.00021969365185036177
445	Mras	0.00021909341115635648
446	Kcnj11	0.00021443010241263996
447	Sec31b	0.0002129002189241617
448	Ndufa8	0.00020774593219983947
449	Cox7b	0.00020326811539203327
450	Phb2	0.00020194242368428081
451	Creb3l1	0.0001981385305237587
452	Aspa	0.00019749546556129148
453	Pkmyt1	0.00019457594249877735
454	Epn3	0.00019347276337051432
455	Fbp2	0.0001923262736347694
456	Wnt4	0.00018850867844515253
457	Wnt7a	0.00018850867844515253
458	Bmx	0.00018700686970008707
459	Mertk	0.00018700686970008707
460	Ndufa5	0.0001842697878339645
461	Ptprg	0.00018213666261875252
462	S100b	0.00017842844969608983
463	Impa2	0.0001702884898371486
464	Pcgf2	0.00016168915131636392
465	Ndufs6	0.0001609062776975583
466	Fanci	0.00015922327219906188
467	Mfn2	0.00015612893786540725
468	Nuf2	0.00015562008097570743
469	Gtse1	0.00015472488341463912
470	Awat2	0.00015420083405608535
471	Cebpb	0.00015380684523635517
472	Cox7a2	0.00014859481212717074
473	Cish	0.00014782675592033822
474	Rnf7	0.00014485007163621597
475	Gpx1	0.0001415032012068434
476	Mrc1	0.00013945749025662062
477	Xpa	0.00013796672983331057
478	Ptch2	0.00012965875404600364
479	Chchd4	0.00012049528559872499
480	H2-Q10	0.0001198233680211955
481	Serpina1c	0.00011455012179032013
482	Cenpf	0.00011228814181016144
483	Thbs2	0.0001115192552379541
484	Thbs4	0.0001115192552379541
485	Mapkapk2	0.00011026690580829593
486	Ppargc1b	0.00010488168889616063
487	Hpd	0.00010402215986177722
488	Ndufb2	0.00010322936428208172
489	Ctdnep1	0.00010203881354335641
490	Ankrd23	9.84009219145541e-05
491	Rpa2	9.80910118701956e-05
492	Esrrb	9.54158452386098e-05
493	Ly6c2	9.272971962632392e-05
494	Ncapd2	9.202544485835225e-05
495	Lgmn	9.160417863972504e-05
496	Cfh	9.078367666113224e-05
497	Efna4	8.794894466942619e-05
498	Acot12	8.270315389764536e-05
499	Cd209a	8.148092886166137e-05
500	Rad18	8.029339004125716e-05
501	Kcne3	7.956084568435663e-05
502	Ska1	7.305392741771248e-05
503	P2ry12	7.188148969898091e-05
504	P2ry14	7.188148969898091e-05
505	Col13a1	7.13784407074026e-05
506	St3gal5	7.067420808964154e-05
507	Atp5e	6.843679953356058e-05
508	Gmnn	6.60117164292564e-05
509	Nusap1	6.511999538104762e-05
510	Tln2	6.451554701525017e-05
511	Cdkn2b	6.292850259665438e-05
512	Hist1h2ak	5.6925923165711215e-05
513	Hist2h2ac	5.6925923165711215e-05
514	Mmp19	5.474798442481095e-05
515	Cacng1	5.358644860387585e-05
516	Cacng6	5.358644860387585e-05
517	Grin3a	5.358644860387585e-05
518	Spag5	5.304074085677119e-05
519	Ccl12	5.09522939020594e-05
520	Psat1	4.972922212197541e-05
521	Pm20d1	4.716540352172381e-05
522	Tnni1	4.669220857674798e-05
523	Ndufa11	4.5778046032174804e-05
524	Mgp	4.500725871877006e-05
525	Kcnc4	4.4665534477923766e-05
526	Timm10b	4.1775349573584834e-05
527	Ncapg2	4.042529711509181e-05
528	Mapkapk3	3.9823973984367505e-05
529	Sptb	3.980789091207293e-05
530	Slc25a31	3.9711335293275464e-05
531	Usmg5	3.8765232872925166e-05
532	Pdcd4	3.824905091026999e-05
533	Fbxo31	3.6013522725667726e-05
534	Ckap2l	3.386345478430897e-05
535	Tg	3.358475329285965e-05
536	Dhrs7c	3.1702334109400725e-05
537	Hpgd	3.1702334109400725e-05
538	Rdh13	3.1702334109400725e-05
539	Ntrk3	3.091126715862847e-05
540	Lrrc2	2.8509322541650094e-05
541	Npr3	2.8509322541650094e-05
542	Impact	2.829525461270679e-05
543	E2f6	2.823286462425915e-05
544	Rfx7	2.6669672194599965e-05
545	Mmp15	2.5240566074680612e-05
546	Fignl1	2.4545747243721225e-05
547	Cyp2f2	2.2432656519493905e-05
548	Fbxl15	1.7776198480243556e-05
549	Ppp1r3a	1.6600774981154856e-05
550	Syp	1.3596449650126222e-05
551	Dlgap5	1.1581074014152507e-05
552	Cenph	8.69323871646238e-06
553	Il21	5.6897986371814744e-06
554	Ap1m2	5.266539567511771e-06
555	Coq10a	5.266539567511771e-06
556	Coq5	5.266539567511771e-06
557	Slc25a20	4.440672806618996e-06
558	Kcnh2	3.949904675633828e-06
559	Hmgcs2	3.935787352032443e-06
560	Masp1	3.730465526987505e-06
561	Depdc1a	3.6085431977048197e-06
562	Atg4d	2.6332697837558855e-06
563	Clcn1	2.6332697837558855e-06
564	Phospho1	2.6332697837558855e-06
565	Kctd13	2.6332697837558855e-06
566	Yipf7	2.6332697837558855e-06
567	Ehbp1l1	1.316634891877943e-06
568	Smpd3	1.3166348918779427e-06
569	Dnaja3	8.558126797206628e-07
570	Ttc28	8.558126797206628e-07
571	Palb2	6.945198492640331e-07
572	Ms4a7	6.583174459389714e-07
573	Alox12	3.291587229694857e-07
574	Pafah2	3.291587229694857e-07
575	Ces2b	2.6332697837558856e-07
576	Ces2c	2.6332697837558856e-07
577	Srd5a3	2.6332697837558856e-07
578	Gfod1	2.586247109045959e-07
579	Npl	2.586247109045959e-07
580	Ska2	1.8049107464416242e-07
581	Acot2	0.0
582	Acot1	0.0
583	Acot3	0.0
584	Acyp2	0.0
585	Adcyap1r1	0.0
586	Ada	0.0
587	Ap1s2	0.0
588	Aplnr	0.0
589	Arsg	0.0
590	Arsa	0.0
591	Atg9b	0.0
592	Atp1b2	0.0
593	Atp6v1g2	0.0
594	Atpif1	0.0
595	Adam2	0.0
596	Bloc1s3	0.0
597	Bmf	0.0
598	Calu	0.0
599	Card14	0.0
600	Ccl27a	0.0
601	Adra1d	0.0
602	Cd93	0.0
603	Cdc42ep5	0.0
604	Cdc42ep3	0.0
605	Adamtsl1	0.0
606	Cidec	0.0
607	Clic5	0.0
608	Cma1	0.0
609	Cmya5	0.0
610	Cnn1	0.0
611	Col27a1	0.0
612	Art1	0.0
613	Crybb1	0.0
614	Cspg4	0.0
615	Cxcl3	0.0
616	Car3	0.0
617	Dao	0.0
618	Ddo	0.0
619	Deptor	0.0
620	Dusp8	0.0
621	Amot	0.0
622	Ccdc85a	0.0
623	Ccdc85c	0.0
624	Celsr3	0.0
625	Cirbp	0.0
626	Dqx1	0.0
627	Celf5	0.0
628	Elovl7	0.0
629	Elovl6	0.0
630	Egln1	0.0
631	Aph1c	0.0
632	Cdh3	0.0
633	Errfi1	0.0
634	Exoc8	0.0
635	Exoc3	0.0
636	Fabp3	0.0
637	Fcna	0.0
638	Ffar3	0.0
639	Fkbp5	0.0
640	Fkbp4	0.0
641	Fktn	0.0
642	Flrt1	0.0
643	Galnt2	0.0
644	Galr1	0.0
645	Gdf3	0.0
646	Dppa3	0.0
647	Aqp5	0.0
648	Glra1	0.0
649	Gstt4	0.0
650	Fosl2	0.0
651	Acot13	0.0
652	Hap1	0.0
653	Ahi1	0.0
654	Hccs	0.0
655	Hectd2	0.0
656	Hexdc	0.0
657	Gzmk	0.0
658	Hoxd3	0.0
659	Hpdl	0.0
660	Igfbp4	0.0
661	Il18bp	0.0
662	Itgad	0.0
663	Jsrp1	0.0
664	Adap1	0.0
665	Camsap3	0.0
666	Klhdc7a	0.0
667	Klk1	0.0
668	Krt8	0.0
669	Krt18	0.0
670	Lmod3	0.0
671	Ankrd24	0.0
672	Ankrd9	0.0
673	Asb11	0.0
674	Asb16	0.0
675	Dusp13	0.0
676	Dusp14	0.0
677	Dusp15	0.0
678	Dusp28	0.0
679	Dusp3	0.0
680	Macrod1	0.0
681	Glycam1	0.0
682	Mapk8ip1	0.0
683	Dab1	0.0
684	Chaf1a	0.0
685	Med12l	0.0
686	Mest	0.0
687	Mfap4	0.0
688	Minos1	0.0
689	Krt14	0.0
690	Adamts1	0.0
691	Mnt	0.0
692	Apba3	0.0
693	Mrpl42	0.0
694	Mrpl55	0.0
695	Mrps23	0.0
696	Mrps36	0.0
697	Mtx2	0.0
698	Myf6	0.0
699	Myo1h	0.0
700	Arhgap21	0.0
701	Luzp1	0.0
702	Myom1	0.0
703	Naip1	0.0
704	Ncan	0.0
705	Ndn	0.0
706	Ecsit	0.0
707	Ndufaf5	0.0
708	Ide	0.0
709	Maff	0.0
710	Ngb	0.0
711	Ciapin1	0.0
712	Hpca	0.0
713	Hpcal1	0.0
714	Hpcal4	0.0
715	Fchsd1	0.0
716	Hlf	0.0
717	Npy2r	0.0
718	Nr2c1	0.0
719	Nr4a1	0.0
720	Nr4a2	0.0
721	Cntnap1	0.0
722	Olfr287	0.0
723	Olfr1388	0.0
724	Myoc	0.0
725	Oxnad1	0.0
726	Iqsec1	0.0
727	Glyctk	0.0
728	Pgap2	0.0
729	Pgp	0.0
730	Angptl1	0.0
731	Pcyt1a	0.0
732	Pcyt2	0.0
733	Pira2	0.0
734	Grtp1	0.0
735	Abcg1	0.0
736	Pnliprp1	0.0
737	Pnpla3	0.0
738	Podxl2	0.0
739	Klf15	0.0
740	Podxl	0.0
741	Pofut2	0.0
742	Esrp2	0.0
743	Pomgnt1	0.0
744	Pop7	0.0
745	Pop1	0.0
746	Prdm16	0.0
747	Akap1	0.0
748	Cpn2	0.0
749	Lrfn4	0.0
750	Lrrc15	0.0
751	Lrrc38	0.0
752	Lrrc39	0.0
753	Nepn	0.0
754	Pkia	0.0
755	Prr11	0.0
756	Ptafr	0.0
757	Ptgds	0.0
758	Pth1r	0.0
759	Clec1b	0.0
760	Fyb	0.0
761	Rab3il1	0.0
762	Rab3ip	0.0
763	Rab9b	0.0
764	Rabggtb	0.0
765	Rad9b	0.0
766	Rap1gap	0.0
767	Rasgrf1	0.0
768	Rasl12	0.0
769	Rbfox1	0.0
770	Atxn2	0.0
771	Rbmx2	0.0
772	Pdzrn3	0.0
773	Rgs10	0.0
774	Rgs5	0.0
775	Arap3	0.0
776	Arhgap19	0.0
777	Arhgap26	0.0
778	Arhgap40	0.0
779	Arhgef19	0.0
780	Dock11	0.0
781	Rmdn1	0.0
782	Asph	0.0
783	Jph2	0.0
784	S100a13	0.0
785	Scd3	0.0
786	Scn4b	0.0
787	Ptn	0.0
788	Sdk1	0.0
789	Magt1	0.0
790	Lrrc20	0.0
791	Sel1l3	0.0
792	Derl3	0.0
793	Serpina3j	0.0
794	Serpina3k	0.0
795	Serpina3m	0.0
796	Serpinf2	0.0
797	Serpinh1	0.0
798	Sez6l2	0.0
799	Sgcg	0.0
800	Sgk2	0.0
801	Siglech	0.0
802	Sik1	0.0
803	Slamf1	0.0
804	Slc25a19	0.0
805	Slc27a2	0.0
806	Car6	0.0
807	Snx5	0.0
808	Speg	0.0
809	Spred2	0.0
810	Spry4	0.0
811	Ssh2	0.0
812	Stard13	0.0
813	Etv5	0.0
814	Stmn1	0.0
815	Sult2b1	0.0
816	Tamm41	0.0
817	Tead3	0.0
818	Eral1	0.0
819	Pusl1	0.0
820	Rtca	0.0
821	Tgfbr1	0.0
822	Them4	0.0
823	Ticrr	0.0
824	Pam16	0.0
825	Mmp11	0.0
826	Prg4	0.0
827	Tlr5	0.0
828	Mavs	0.0
829	Tlr8	0.0
830	Tmem171	0.0
831	Tmem177	0.0
832	Tmem38a	0.0
833	Tmem53	0.0
834	Tmem65	0.0
835	Tmod4	0.0
836	Tmprss2	0.0
837	Slc45a3	0.0
838	Tmprss6	0.0
839	Tnfaip1	0.0
840	Tnfrsf25	0.0
841	Abcb8	0.0
842	Cars2	0.0
843	Kctd19	0.0
844	Mfsd1	0.0
845	Pif1	0.0
846	Poln	0.0
847	Tpbg	0.0
848	Trak2	0.0
849	Treml1	0.0
850	Trim54	0.0
851	Trim72	0.0
852	Anxa2	0.0
853	Brwd3	0.0
854	Ttc25	0.0
855	Ift43	0.0
856	Ttc7b	0.0
857	Efr3b	0.0
858	Tmem41a	0.0
859	Tmem41b	0.0
860	Ubiad1	0.0
861	Ubqln4	0.0
862	Uck2	0.0
863	Usp25	0.0
864	Tatdn3	0.0
865	Uvssa	0.0
866	Vipr2	0.0
867	Apoc4	0.0
868	Wasf1	0.0
869	Wdr73	0.0
870	Cmklr1	0.0
871	Yif1a	0.0
872	Yif1b	0.0
873	Znrf2	0.0
